Date;VIX_EU
2000-01-03;309.845
2000-01-04;332.225
2000-01-05;325.944
2000-01-06;311.811
2000-01-07;274.407
2000-01-10;273.711
2000-01-11;279.619
2000-01-12;286.067
2000-01-13;280.491
2000-01-14;254.786
2000-01-17;259.901
2000-01-18;277.794
2000-01-19;281.277
2000-01-20;277.616
2000-01-21;281.958
2000-01-24;286.632
2000-01-25;300.186
2000-01-26;294.326
2000-01-27;280.638
2000-01-28;290.238
2000-01-31;319.687
2000-02-01;301.224
2000-02-02;295.014
2000-02-03;289.268
2000-02-04;286.263
2000-02-07;299.433
2000-02-08;285.691
2000-02-09;295.142
2000-02-10;301.312
2000-02-11;291.778
2000-02-14;329.205
2000-02-15;339.884
2000-02-16;325.563
2000-02-17;309.239
2000-02-18;303.079
2000-02-21;309.721
2000-02-22;307.722
2000-02-23;295.958
2000-02-24;295.094
2000-02-25;27.092
2000-02-28;290.865
2000-02-29;287.829
2000-03-01;276.825
2000-03-02;247.261
2000-03-03;275.193
2000-03-06;277.329
2000-03-07;284.641
2000-03-08;295.076
2000-03-09;292.994
2000-03-10;28.231
2000-03-13;311.377
2000-03-14;309.028
2000-03-15;315.052
2000-03-16;314.462
2000-03-17;310.922
2000-03-20;295.358
2000-03-21;291.204
2000-03-22;289.261
2000-03-23;285.267
2000-03-24;270.158
2000-03-27;270.584
2000-03-28;26.431
2000-03-29;254.628
2000-03-30;277.869
2000-03-31;27.237
2000-04-03;28.179
2000-04-04;278.205
2000-04-05;320.695
2000-04-06;287.791
2000-04-07;26.626
2000-04-10;269.387
2000-04-11;281.435
2000-04-12;276.432
2000-04-13;278.573
2000-04-14;28.407
2000-04-17;307.758
2000-04-18;302.799
2000-04-19;282.189
2000-04-20;272.314
2000-04-25;283.096
2000-04-26;282.941
2000-04-27;299.862
2000-04-28;28.133
2000-05-02;287.111
2000-05-03;298.878
2000-05-04;295.658
2000-05-05;281.957
2000-05-08;287.495
2000-05-09;292.943
2000-05-10;300.209
2000-05-11;277.294
2000-05-12;270.581
2000-05-15;281.816
2000-05-16;268.223
2000-05-17;272.548
2000-05-18;262.945
2000-05-19;285.293
2000-05-22;297.029
2000-05-23;287.434
2000-05-24;288.636
2000-05-25;273.632
2000-05-26;267.763
2000-05-29;262.538
2000-05-30;256.275
2000-05-31;252.594
2000-06-01;241.361
2000-06-02;22.758
2000-06-05;234.487
2000-06-06;241.594
2000-06-07;243.745
2000-06-08;241.118
2000-06-09;243.139
2000-06-12;245.714
2000-06-13;241.788
2000-06-14;232.305
2000-06-15;241.161
2000-06-16;23.551
2000-06-19;230.801
2000-06-20;223.126
2000-06-21;22.709
2000-06-22;227.119
2000-06-23;226.095
2000-06-26;228.163
