horizon;coefficient1;std_error1;coefficient2;std_error2;coefficient3;std_error3;coefficient4;std_error4;coefficient5;std_error5;coefficient6;std_error6;coefficient7;std_error7;coefficient8;std_error8;coefficient9;std_error9;coefficient10;std_error10;coefficient11;std_error11
0;-.0365393;.0133923;.025811;.0245263;.0139432;.018462;.0114625;.0488554;.0374248;.0181237;.0279323;.0291879;.0118407;.020397;.0872899;.0182962;.0200663;.021173;.0086151;.0348355;.0432643;.0854626
1;.0162734;.0195687;-.0393824;.0210966;-.017338;.0197557;-.0550253;.0422211;-.0412476;.0173051;-.0704692;.0247878;-.0406506;.0245942;-.0309984;.0252878;-.0397624;.0245822;-.0625613;.0227173;-.14413;.078603
2;.0007225;.0150998;-.0183809;.0207372;.0004517;.0236118;.026486;.0653821;-.0016965;.0176127;.0306452;.0393427;-.0158787;.0169018;-.0217041;.0216288;-.0447849;.0239087;.0354045;.0250476;-.0838587;.0648063
3;.0140221;.0160604;-.0012572;.0237565;.0091613;.0217144;.0427252;.0719922;-.0246756;.0207875;-.0025364;.0297174;-.0056109;.0230502;-.0202174;.0214861;-.0199456;.0455444;-.0057265;.0260035;-.0671252;.097822
4;.002043;.0175783;.0156635;.0454421;.0421288;.0188385;.0583261;.0599228;.0317133;.0205104;.0237567;.0204701;.0359718;.0188065;.0069357;.0178589;.0143208;.0201232;.1368302;.1193376;-.0071184;.0770196
5;-.0114144;.0197326;.0285568;.0276495;.0273227;.0269723;.020248;.0474489;-.004028;.0215;.0089005;.0247324;.0127542;.0215071;.0527721;.0226328;.0066096;.0222226;.026933;.0401275;.042654;.0814365
6;-.0012231;.0158248;-.0400967;.0200491;-.0028433;.0173615;-.0645881;.0496349;-.0042892;.0195208;.0005669;.024022;-.016441;.0199809;-.0093709;.0196848;-.0122951;.0176708;-.0504592;.0247557;-.096546;.1045573
7;.0105141;.0204152;.0237772;.0220388;.0055117;.0203229;.0189252;.0750051;-.0074468;.0197851;.0090383;.0305286;.0561981;.057151;.0167105;.0184896;.0090185;.0191639;.0167674;.0305867;.1798023;.103379
8;-.0465829;.0158394;.0576457;.0323012;.0409609;.027115;-.0546132;.0848594;.0351016;.0219701;.0122348;.0260582;-.0121625;.0538482;.0239319;.0206804;.0063745;.0286186;.0011858;.0272032;.1095963;.097713
9;-.0046148;.0235715;.0262848;.030093;-.0339106;.0200192;-.0266412;.0862117;-.0150611;.0146133;-.0223547;.0274329;-.0193825;.0188797;.0125888;.0219528;-.0247975;.0223461;-.0081956;.0286492;-.0460564;.0525594
10;-.0143662;.0187176;-.0054508;.0270986;-.0199999;.0325;-.1419574;.0933573;-.0226624;.0223239;.003099;.0273588;-.0304534;.025527;-.0114057;.027884;.0251638;.0293807;.0381453;.0331863;-.0697158;.1007845
11;.0022015;.015569;.0170853;.0225008;-.0065044;.0159216;.006224;.0533285;.0146999;.0202923;.0028242;.0251857;.01354;.019592;-.0287602;.0239563;-.0015461;.0229248;-.0208792;.0341235;.1146611;.0618682
12;-.017063;.0148443;.0437425;.0203611;.019983;.0233928;.037957;.0468153;.0152944;.0177426;.0470365;.0223803;.0222223;.0187761;.0032088;.0211195;.0287133;.0183604;.0105194;.0293336;.1076339;.0929064
13;-.0125544;.0205479;.0067675;.0278614;-.0195648;.026574;-.0499984;.0468093;-.0140392;.0276082;-.0457206;.0263889;-.0036462;.0238831;-.0030106;.0265681;-.0159091;.0288137;-.0279357;.0287229;-.0999637;.0677601
14;-.0097571;.0132664;.025436;.0314132;.0079159;.0203192;-.0635521;.0817455;.0053616;.0162076;-.008088;.0272093;.0021602;.0206839;.0043593;.0170418;-.0081262;.016759;-.021581;.046437;.046437;.0571876
15;-.0101364;.0152034;-.0290186;.0293947;.0058601;.0128036;-.0495149;.0566606;.0454059;.0528884;-.0735054;.0494096;.0219841;.0251215;-.0378866;.0235771;-.0175451;.0162257;.0780527;.0585957;-.0763207;.0758639
