horizon;coefficient1;std_error1;coefficient2;std_error2;coefficient3;std_error3;coefficient4;std_error4;coefficient5;std_error5;coefficient6;std_error6;coefficient7;std_error7;coefficient8;std_error8;coefficient9;std_error9;coefficient10;std_error10;coefficient11;std_error11
0;-.0789731;.0274134;-.0015142;.0133487;.0395053;.0218183;.0259332;.0348276;.0165599;.0219087;.0278562;.014231;.0009879;.0180747;-.0219016;.0281757;-.0063765;.0280619;-.0291833;.0162914;.0387672;.0342491
1;-.0499497;.0225577;-.0257975;.0127021;.0164398;.015081;.0227077;.023911;.0135474;.0109825;.0049674;.0205005;-.0072765;.0102655;-.0239934;.0195171;.0015362;.0137389;-.0278596;.0187102;.0498015;.025327
2;.0090478;.0217206;.0141484;.0097001;-.0123645;.0134278;-.0317247;.0229743;.0106765;.0138221;-.0024;.0111828;.0001666;.0104554;-.019045;.0177923;.012637;.0168962;.0111988;.0112797;-.0085575;.015253
3;-.0116364;.0290625;.0114888;.0100543;.0135886;.0132547;.015725;.0239862;.0184464;.0124137;.0044603;.0151306;.0184181;.0108693;.0256259;.0152362;-.0004698;.0205657;.0194511;.0128929;-.0014023;.0168268
4;.0357129;.0315293;.0072065;.010692;-.0023601;.0148247;.0892477;.0571321;.005785;.0095126;.0273792;.0117099;-.0004847;.0101904;.0116345;.0164243;-.0052189;.0158805;-.0058641;.0116516;-.0171447;.0164152
5;.0084016;.0206188;-.0046335;.0086709;-.0054105;.0109841;-.0029486;.0178367;-.0195572;.0104618;.0237217;.0154847;-.0190885;.0075887;-.0088654;.013371;-.0160121;.0100903;-.0239438;.0103152;-.0021594;.0132372
6;-.0250296;.0257556;-.0120979;.0100075;.016971;.0122932;.0400715;.017459;.0203223;.0095318;.0115775;.0116908;.0027058;.009745;.0259261;.0129714;.012008;.0093037;-.0045157;.017188;.0308135;.0181145
7;.0139904;.0395698;-.0091253;.0079843;-.0104864;.0159107;.0407819;.0184093;.0115577;.0149856;-.0024558;.015965;.0012318;.0125293;.0164309;.0113891;.0262343;.0156631;-.0246202;.0122406;.0086151;.0179646
8;-.0195287;.0268863;-.0026444;.010349;.003669;.0150117;-.0345904;.0203769;.0049365;.0114833;-.0083275;.0164382;-.0023397;.0093627;-.0115249;.0176995;-3.08e-06;.0157616;-.0036776;.0110369;.0051235;.0156967
9;.0257415;.0456096;.0120299;.0097457;-.0159964;.018954;-.018066;.0184006;-.0082499;.0131708;.01157;.0157903;-.0184053;.0134295;-.040944;.0265914;.0236682;.0245033;-.0178296;.0130529;-.0129715;.0198216
10;-.0221023;.0221504;.0111832;.0128208;.0038464;.0136051;.0437088;.0254571;.0021617;.0114203;.0073614;.0164244;.0053468;.0086673;-.018016;.016945;-.0006856;.0162248;-.0084554;.0103279;-.0178343;.024285
11;.0238848;.0386554;.0036893;.0105416;-.0104366;.0179725;-.0000507;.0212407;.0103048;.009577;.0095047;.0145162;-.0048773;.0092882;-.0142004;.0108012;.0358806;.0287971;-.0108772;.0134385;-.0154993;.022083
12;-.0285628;.0275072;-.0212054;.011135;.0003908;.0149313;-.0525258;.0257878;-.0066038;.0132525;-.0230809;.0118491;-.0182917;.0151389;-.0250227;.0180736;-.0310701;.0181251;-.0090317;.0120368;-.005183;.0255346
13;.0072067;.0227647;-.0166616;.0100066;-.0115899;.0162173;-.0310111;.0193145;-.0049949;.0134452;-.0035974;.0143942;-.0145026;.0120167;-.0207356;.0153247;-.0201242;.0126127;-.0122999;.0108959;.0015578;.0189034
14;-.0151619;.0210099;.0189554;.0121582;.0181099;.0130439;.0213787;.0208885;.0185653;.0168227;-.0016899;.0133033;.0177327;.0115699;.0090622;.0138903;.0233889;.0247114;-.0122251;.0099729;.0179743;.0175857
15;-.0316569;.028403;-.0162493;.014006;.0179337;.0153366;-.0064662;.0168609;-.0028096;.0102309;-.0158183;.0131062;-.0017344;.0102312;-.0273688;.0141576;.0130763;.0170191;.0007804;.0122548;.0038099;.0175596
