Ticker;Industry
SOBO;-
SNRE;Other
MSDL;-
KBDC;-
ORKA;-
MAGN;-
SPMC;-
CRNG;-
TNMG;-
BHST;-
ACOG;-
ELPW;-
PITA;-
RADX;-
FOXX;Other
MDCX;Other
MTVA;-
DMN;-
RMSG;-
SUNE;Other
UOKA;-
GOOGL;Internet Content & Information
META;Internet Content & Information
NFLX;Entertainment
TMUS;Telecom Services
DIS;Entertainment
VZ;Telecom Services
T;Telecom Services
CMCSA;Telecom Services
SPOT;Internet Content & Information
DASH;Internet Content & Information
NTES;Electronic Gaming & Multimedia
CHTR;Telecom Services
AMX;Telecom Services
EA;Electronic Gaming & Multimedia
RBLX;Electronic Gaming & Multimedia
BIDU;Internet Content & Information
TTWO;Electronic Gaming & Multimedia
LYV;Entertainment
CHT;Telecom Services
RDDT;Internet Content & Information
WBD;Entertainment
TEF;Telecom Services
BCE;Telecom Services
TKO;Entertainment
VOD;Telecom Services
TU;Telecom Services
FWONA;Entertainment
FWONK;Entertainment
PINS;Internet Content & Information
FOXA;Entertainment
SNAP;Internet Content & Information
TME;Internet Content & Information
RCI;Telecom Services
Z;Internet Content & Information
OMC;Advertising Agencies
TLK;Telecom Services
NWSA;Entertainment
WMG;Entertainment
EDR;Entertainment
VIV;Telecom Services
ROKU;Entertainment
WPP;Advertising Agencies
IPG;Advertising Agencies
LBRDK;Telecom Services
PSO;Publishing
SIRI;Entertainment
BILI;Electronic Gaming & Multimedia
NYT;Publishing
FYBR;Telecom Services
SKM;Telecom Services
MTCH;Internet Content & Information
DJT;Internet Content & Information
KT;Telecom Services
PARA;Entertainment
BZ;Internet Content & Information
LUMN;Telecom Services
LLYVA;Entertainment
LLYVK;Entertainment
TIMB;Telecom Services
TEO;Telecom Services
TKC;Telecom Services
MSGS;Entertainment
USM;Telecom Services
NXST;Broadcasting
PHI;Telecom Services
LBTYK;Telecom Services
TIGO;Telecom Services
IAC;Internet Content & Information
GSAT;Telecom Services
CNK;Entertainment
TDS;Telecom Services
CCOI;Telecom Services
IRDM;Telecom Services
ATHM;Internet Content & Information
PLTK;Electronic Gaming & Multimedia
TGNA;Broadcasting
MANU;Entertainment
WB;Internet Content & Information
YELP;Internet Content & Information
BATRA;Entertainment
ZD;Advertising Agencies
BATRK;Entertainment
WLY;Publishing
VEON;Telecom Services
IQ;Entertainment
MGNI;Advertising Agencies
UPWK;Internet Content & Information
CRTO;Advertising Agencies
CABO;Telecom Services
YY;Internet Content & Information
GENI;Internet Content & Information
STGW;Advertising Agencies
LGF.A;Entertainment
AMC;Entertainment
IAS;Advertising Agencies
TTGT;Internet Content & Information
OPRA;Internet Content & Information
WBTN;Internet Content & Information
PLAY;Entertainment
SPHR;Entertainment
TBLA;Internet Content & Information
IDT;Telecom Services
IMAX;Entertainment
LILAK;Telecom Services
MOMO;Internet Content & Information
QNST;Advertising Agencies
FVRR;Internet Content & Information
SBGI;Broadcasting
SSTK;Internet Content & Information
GETY;Internet Content & Information
ADV;Advertising Agencies
IHS;Telecom Services
ATUS;Telecom Services
PGRU;Internet Content & Information
KIND;Internet Content & Information
TV;Telecom Services
NRDS;Internet Content & Information
GOGO;Telecom Services
ANGI;Internet Content & Information
EEX;Advertising Agencies
HUYA;Entertainment
MAX;Internet Content & Information
CCO;Advertising Agencies
SCHL;Publishing
GCI;Publishing
SHEN;Telecom Services
SEAT;Internet Content & Information
THRY;Internet Content & Information
NCMI;Advertising Agencies
MCS;Entertainment
RBBN;Telecom Services
NEXN;Advertising Agencies
EVER;Internet Content & Information
DDI;Electronic Gaming & Multimedia
ATEX;Telecom Services
RSVR;Entertainment
