horizon;coefficient1;std_error1;coefficient2;std_error2;coefficient3;std_error3;coefficient4;std_error4;coefficient5;std_error5;coefficient6;std_error6;coefficient7;std_error7;coefficient8;std_error8;coefficient9;std_error9;coefficient10;std_error10;coefficient11;std_error11
0;-.0626017;.0364066;.0159472;.0272573;-.0202821;.0189243;-.041597;.0341358;.0152498;.015754;-.0242195;.0341485;-.0592183;.044327;-.0031741;.0206073;.0369658;.0236368;.0027924;.0400122;-.1784069;.0555177
1;-.010493;.024874;.0329359;.0290644;.0331334;.0230878;.0300068;.0685092;.017344;.0227895;.0003884;.030625;.0546507;.0453152;.0317762;.0191717;-.0090145;.0544581;.0247147;.0277838;-.0074116;.0665962
2;-.0258798;.0380955;-.0250434;.0392316;.003626;.0276967;-.1553505;.0943789;.0020241;.0233499;.0182354;.0362723;.006258;.0247394;-.0146944;.0258796;.0371927;.0418567;.0034528;.0334667;-.0425984;.0455961
3;-.0172416;.0274874;.0301125;.0477856;-.0198548;.0249448;.1339235;.1390377;.0116431;.0247428;.0354916;.0600268;-.0064263;.0244061;.1293013;.091997;-.0323367;.0405503;-.0233758;.0341139;.1099243;.0750913
4;-.0228153;.0281185;.0038917;.0254645;.0089524;.0263458;.0001673;.0492244;.001149;.024503;-.0352181;.0727265;-.0391212;.0292394;-.0835039;.0993179;-.0079635;.0171271;.0273888;.0261229;-.0451106;.0418538
5;.007881;.0196994;-.0319382;.0255458;-.0202647;.0191934;-.060425;.0393364;.0141391;.0205325;.0183707;.0279496;-.0100416;.0204698;-.033406;.0228418;-.0253074;.0258935;-.0053892;.0230129;-.0418821;.0658294
6;.005453;.0222407;-.0023393;.0230456;-.0025243;.0208215;-.0307902;.0313363;-.0273692;.0184906;-.0077845;.0278962;-.004715;.0235013;-.0188311;.0255933;-.0066772;.0241546;-.0082248;.0235923;.0317357;.0749936
7;-.0616292;.0152343;.0129608;.0410411;.0340676;.0224429;.0544681;.0421243;.0438121;.0275002;-.0160095;.0277925;.0059539;.028656;.0309658;.0298326;.0403018;.0172485;-.0000125;.032947;.0857359;.041347
8;.0170042;.0143633;-.0207258;.0359027;-.0176609;.0172628;-.0102256;.0435654;.0080064;.0226041;-.0106902;.0233233;-.0040121;.0218286;-.0023725;.0167862;-.0295251;.0192594;-.0446108;.0280961;.0443761;.0545959
9;-.0635245;.0346878;.0556586;.0381201;.073605;.0312779;.1072208;.0525415;.0169685;.0290696;.0726124;.0309702;.0479774;.0321663;.0592706;.0329615;.0521108;.0289037;.0819142;.0306865;.1595891;.0867795
10;-.0251465;.0193813;.0215221;.028736;.0232119;.0266521;-.046377;.0542267;.0126671;.0246504;-.0169146;.0405271;.0502115;.0265585;.0176965;.0223478;.0609372;.0234961;.0389065;.0263248;.0605414;.0611734
11;.0438424;.0147967;-.0675052;.020892;-.0391639;.0174043;-.0432259;.0405323;-.0454153;.0147233;-.0116416;.0374129;-.0362102;.0189969;-.0337357;.0172654;-.0756427;.0301025;-.0280003;.0203756;-.0245551;.0890968
12;.001282;.0176325;-.0141942;.0294456;.0260429;.0213812;.0085209;.0432336;-.0014393;.0173563;.011657;.0194482;.0030923;.019015;.0098344;.0170734;-.0821173;.0585814;.0002775;.0629688;.0391611;.0342078
13;.0076406;.0182764;.0477461;.047644;.0119734;.0200809;.017741;.0330542;.0088939;.0167031;.0299684;.0190706;.0343117;.015338;.0372455;.0199042;.0632294;.0482754;.0076678;.0279942;-.0199615;.0490854
14;-.0034202;.0147022;.030372;.0279674;-.0109866;.0148167;.0321631;.0500757;-.0086711;.015658;.0209931;.0219575;-.0186939;.0180679;.0272745;.0234722;-.010994;.0190743;-.0144001;.0217961;-.08279;.0467384
15;-.0201275;.016624;.0228827;.0231778;.0409685;.0237538;.0948025;.0443439;.0362893;.0192034;.0650559;.0259413;.0365286;.0194711;.020685;.0204059;.0076418;.0230002;.0004012;.0366454;.026206;.0844461
