Ticker;Stock_Name;Sector
ACT.CO;DecideAct A/S;Technology
AGAT.CO;Agat Ejendomme A/S;Real Estate
AGF-B.CO;AGF A/S;Communication Services
AGILC.CO;Agillic A/S;Technology
ALEFRM.CO;Alefarm Brewing A/S;Consumer Staples
ALK-B.CO;ALK-Abelló A/S;Healthcare
ALMB.CO;Alm. Brand A/S;Financials
AMBU-B.CO;Ambu A/S;Healthcare
AOJ-B.CO;Brødrene A & O Johansen A/S;Industrials
AQP.CO;Aquaporin A/S;Utilities
ASTK.CO;Asetek A/S;Technology
ATLA-DKK.CO;P/F Atlantic Petroleum;Energy
BACTIQ.CO;BactiQuant A/S;Industrials
BAVA.CO;Bavarian Nordic A/S;Healthcare
BIF.CO;Brøndbyernes IF Fodbold A/S;Communication Services
BIOPOR.CO;BioPorto A/S;Healthcare
BNORDIK.CSE;Føroya Banki;Financials
BO.CO;Bang & Olufsen A/S;Technology
BOOZT-DKK.CO;Boozt AB (publ);Consumer Discretionary
BRAINP.CO;Brain+ A/S;Healthcare
CARL-A.CO;Carlsberg A/S;Consumer Staples
CARL-B.CO;Carlsberg A/S;Consumer Staples
CBRAIN.CO;cBrain A/S;Technology
CEMAT.CO;Cemat A/S;Real Estate
CHEMM.CO;ChemoMetec A/S;Healthcare
COLO-B.CO;Coloplast A/S;Healthcare
COLUM.CO;Columbus A/S;Technology
CONFRZ.CO;Conferize A/S;Technology
CPHCAP-ST.CO;Copenhagen Capital A/S;Real Estate
DAB.CO;Danske Andelskassers Bank A/S;Financials
DAC.CO;Danish Aerospace Company A/S;Industrials
DANSKE.CO;Danske Bank A/S;Financials
DANT.CO;Dantax A/S;Technology
DATA.CO;Dataproces Group A/S;Technology
DEMANT.CO;Demant A/S;Healthcare
DFDS.CO;DFDS A/S;Industrials
DJUR.CO;Djurslands Bank A/S;Financials
DNORD.CO;Dampskibsselskabet Norden A/S;Industrials
DONKEY.CO;DonkeyRepublic Holding A/S;Industrials
DSV.CO;DSV A/S;Industrials
EGNETY.CO;EgnsINVEST Ejendomme Tyskland A/S;Real Estate
EMBLA.CO;Embla Medical;Healthcare
ERRIA.CO;Erria A/S;Industrials
ESG.CO;Ennogie Solar Group A/S;Technology
FASTPC.CO;FastPassCorp A/S;Technology
FED.CO;Fast Ejendom Danmark A/S;Real Estate
FFARMS.CO;FirstFarms A/S;Consumer Staples
FLS.CO;FLSmidth & Co. A/S;Industrials
FLUG-B.CO;Flügger group A/S;Materials
FOBANK.CO;Føroya Banki;Financials
FOM.CO;FOM Technologies A/S;Industrials
FYNBK.CO;Fynske Bank A/S;Financials
GABR.CO;Gabriel Holding A/S;Consumer Discretionary
GERHSP.CO;German High Street Properties A/S;Real Estate
GJ.CO;Glunz & Jensen Holding A/S;Industrials
GMAB.CO;Genmab A/S;Healthcare
GN.CO;GN Store Nord A/S;Healthcare
GREENH.CO;Green Hydrogen Systems A/S;Utilities
GREENM.CO;GreenMobility A/S;Industrials
GRLA.CO;GrønlandsBANKEN A/S;Financials
GUBRA.CO;Gubra A/S;Healthcare
GYLD-A.CO;Gyldendal A/S;Communication Services
GYLD-B.CO;Gyldendal A/S;Communication Services
HARB-B.CO;Harboes Bryggeri A/S;Consumer Staples
HH.CO;H+H International A/S;Materials
HLUN-A.CO;H. Lundbeck A/S;Healthcare
HLUN-B.CO;H. Lundbeck A/S;Healthcare
HOVE.CO;Hove A/S;Materials
HUSCO.CO;HusCompagniet A/S;Consumer Discretionary
HVID.CO;Hvidbjerg Bank A/S;Financials
HYDRCT.CO;Hydract A/S;Industrials
IMPERO.CO;Impero A/S;Technology
ISS.CO;ISS A/S;Industrials
JDAN.CO;Jeudan A/S;Real Estate
